id,semana,dia,fecha,casos_activos,diferencial_casos_activos,nuevos_casos,diferencial_nuevos_casos,total_casos,nuevos_recuperados,diferencial_nuevos_recuperados,total_recuperados,nuevas_muertes,diferencial_nuevas_muertes,total_muertes,nuevas_pruebas_moleculares,diferencial_nuevas_moleculares,total_pruebas_moleculares,positivos_molecular,diferencial_positivos_molecular,nuevas_pruebas_rapidas,diferencial_nuevas_rapidas,total_pruebas_rapidas,positivos_rapidas,diferencial_positivas_rapidas,nuevas_pruebas,diferencial_nuevas_pruebas,total_de_pruebas,total_de_positivos_moleculares,total_de_positivos_rapidas
1,10.00,viernes,2020-03-06,1,0,1,0,1,0,0,0,0,0,0,155,0,155,1,0,0,0,0,0,0,155,0,155,1,0
2,10.00,sábado,2020-03-07,6,5,5,4,6,0,0,0,0,0,0,64,-91,219,5,4,0,0,0,0,0,64,-91,219,6,0
3,10.00,domingo,2020-03-08,7,1,1,-4,7,0,0,0,0,0,0,31,-33,250,1,-4,0,0,0,0,0,31,-33,250,7,0
4,11.00,lunes,2020-03-09,9,2,2,1,9,0,0,0,0,0,0,68,37,318,2,1,0,0,0,0,0,68,37,318,9,0
5,11.00,martes,2020-03-10,11,2,2,0,11,0,0,0,0,0,0,28,-40,346,2,0,0,0,0,0,0,28,-40,346,11,0
6,11.00,miércoles,2020-03-11,17,6,6,4,17,0,0,0,0,0,0,368,340,714,6,4,0,0,0,0,0,368,340,714,17,0
7,11.00,jueves,2020-03-12,22,5,5,-1,22,0,0,0,0,0,0,141,-227,905,5,-1,0,0,0,0,0,141,-227,905,22,0
8,11.00,viernes,2020-03-13,38,16,16,11,38,0,0,0,0,0,0,377,236,1232,16,11,0,0,0,0,0,377,236,1232,38,0
9,11.00,sábado,2020-03-14,43,5,5,-11,43,0,0,0,0,0,0,313,-64,1545,5,-11,0,0,0,0,0,313,-64,1545,43,0
10,11.00,domingo,2020-03-15,71,28,28,23,71,0,0,0,0,0,0,277,-36,1822,28,23,0,0,0,0,0,277,-36,1822,71,0
11,12.00,lunes,2020-03-16,85,14,15,-13,86,1,1,1,0,0,0,493,216,2315,15,-13,0,0,0,0,0,493,216,2315,86,0
12,12.00,martes,2020-03-17,116,31,31,16,117,0,-1,1,0,0,0,365,-128,2797,31,16,0,0,0,0,0,365,-128,2797,117,0
